sweep,param,bfs,astar,mafs,mafs_net,flow,flow_net,astar_vs_bfs,mafs_vs_bfs_net,mafs_vs_astar_net,flow_vs_bfs_net,flow_vs_astar_net
single,"V=150,Na=15,epn=2.5",1184,696,137,257,160,953,41.2,78.3,63.1,19.5,0.0
Na_sweep,2,94,53,61,96,102,282,43.6,0.0,0.0,0.0,0.0
Na_sweep,4,226,153,110,182,105,412,32.3,19.5,0.0,0.0,0.0
Na_sweep,6,311,201,75,132,105,486,35.4,57.6,34.3,0.0,0.0
Na_sweep,8,407,256,89,161,108,548,37.1,60.4,37.1,0.0,0.0
Na_sweep,10,559,374,96,180,110,593,33.1,67.8,51.9,0.0,0.0
Na_sweep,12,670,398,101,195,104,581,40.6,70.9,51.0,13.3,0.0
Na_sweep,14,648,372,132,251,105,615,42.6,61.3,32.5,5.1,0.0
Na_sweep,16,834,500,148,283,102,615,40.0,66.1,43.4,26.3,0.0
Na_sweep,18,983,629,146,282,114,656,36.0,71.3,55.2,33.3,0.0
Na_sweep,20,956,558,170,332,105,634,41.6,65.3,40.5,33.7,0.0
Na_sweep,22,1086,670,186,363,115,689,38.3,66.6,45.8,36.6,0.0
Na_sweep,24,1232,764,199,390,125,750,38.0,68.3,49.0,39.1,1.8
V_sweep,50,396,243,128,247,64,335,38.6,37.6,0.0,15.4,0.0
V_sweep,75,617,358,127,244,80,468,42.0,60.5,31.8,24.1,0.0
V_sweep,100,654,366,133,259,112,659,44.0,60.4,29.2,0.0,0.0
V_sweep,125,920,556,139,266,128,757,39.6,71.1,52.2,17.7,0.0
V_sweep,150,1204,683,134,254,160,964,43.3,78.9,62.8,19.9,0.0
V_sweep,175,1199,674,134,261,176,1084,43.8,78.2,61.3,9.6,0.0
V_sweep,200,1420,825,146,279,208,1278,41.9,80.4,66.2,10.0,0.0
V_sweep,225,1642,998,188,340,240,1448,39.2,79.3,65.9,11.8,0.0
V_sweep,250,1837,1063,190,343,256,1538,42.1,81.3,67.7,16.3,0.0
V_sweep,275,2175,1252,188,351,288,1759,42.4,83.9,72.0,19.1,0.0
V_sweep,300,2314,1421,193,353,304,1874,38.6,84.7,75.2,19.0,0.0
