sweep,param,bfs,astar,mafs,mafs_net,flow,flow_net,astar_vs_bfs,mafs_vs_bfs_net,mafs_vs_astar_net,flow_vs_bfs_net,flow_vs_astar_net
single,"V=350,Na=25,epn=3.0",4208,2378,262,506,364,2664,43.5,88.0,78.7,36.7,0.0
Na_sweep,2,128,75,79,121,102,288,41.4,5.5,0.0,0.0,0.0
Na_sweep,8,412,248,84,155,108,587,39.8,62.4,37.5,0.0,0.0
Na_sweep,14,705,430,139,267,105,665,39.0,62.1,37.9,5.7,0.0
Na_sweep,20,993,576,192,374,105,694,42.0,62.3,35.1,30.1,0.0
Na_sweep,26,1286,736,245,481,108,717,42.8,62.6,34.6,44.2,2.6
V_sweep,100,1282,736,226,443,104,672,42.6,65.4,39.8,47.6,8.7
V_sweep,130,1614,920,227,448,156,1061,43.0,72.2,51.3,34.3,0.0
V_sweep,160,2011,1076,235,459,182,1280,46.5,77.2,57.3,36.4,0.0
V_sweep,190,2443,1367,231,450,208,1465,44.0,81.6,67.1,40.0,0.0
V_sweep,220,2830,1588,233,457,234,1654,43.9,83.9,71.2,41.6,0.0
V_sweep,250,3157,1765,250,486,260,1874,44.1,84.6,72.5,40.6,0.0
V_sweep,280,3537,1909,238,471,286,2071,46.0,86.7,75.3,41.4,0.0
V_sweep,310,3703,1990,247,475,312,2282,46.3,87.2,76.1,38.4,0.0
V_sweep,340,3974,2104,258,501,364,2613,47.1,87.4,76.2,34.2,0.0
V_sweep,370,4311,2525,289,555,390,2885,41.4,87.1,78.0,33.1,0.0
V_sweep,400,5313,3186,284,544,416,3052,40.0,89.8,82.9,42.6,4.2
