sweep,param,traditional,mafs,speedup_pct,speedup_net_pct,theoretical_pct
Na_sweep,2,116,64,44.6,17.9,0
Na_sweep,4,216,82,61.7,40.4,50
Na_sweep,6,258,118,54.1,28,66.7
Na_sweep,8,419,112,73.2,55.1,75
Na_sweep,10,467,97,79.2,64,80
Na_sweep,12,615,106,82.9,69.2,83.3
Na_sweep,14,762,120,84.2,72.3,85.7
Na_sweep,16,809,114,85.9,73.9,87.5
Na_sweep,18,942,130,86.2,74.3,88.9
Na_sweep,20,1072,126,88.3,77.6,90
Na_sweep,22,1118,147,86.9,75,90.9
Na_sweep,24,1227,157,87.2,75.4,91.7
V_sweep,50,178,56,68.8,,
V_sweep,70,281,75,73.3,,
V_sweep,90,372,89,76.1,,
V_sweep,110,425,129,69.6,,
V_sweep,130,518,132,74.4,,
V_sweep,150,588,150,74.4,,
V_sweep,170,745,175,76.5,,
V_sweep,190,777,185,76.2,,
V_sweep,210,871,196,77.5,,
V_sweep,230,1044,194,81.4,,
V_sweep,250,1041,189,81.9,,
V_sweep,270,1295,192,85.1,,
