sweep,param,traditional,mafs,speedup_pct,speedup_net_pct,theoretical_pct
single,"V=350,Na=20,epn=3.0",3719,321,91.4,85.8,
Na_sweep,2,113,66,41.3,10.3,0
Na_sweep,6,340,74,78.1,61.2,66.7
Na_sweep,10,478,101,78.8,60.0,80.0
Na_sweep,14,718,131,81.8,65.1,85.7
Na_sweep,18,986,169,82.9,66.8,88.9
Na_sweep,22,1113,208,81.3,63.6,90.9
V_sweep,100,1021,192,81.2,63.5,
V_sweep,130,1265,191,84.9,70.7,
V_sweep,160,1612,185,88.5,77.7,
V_sweep,190,1916,191,90.0,80.9,
V_sweep,220,2186,237,89.2,80.4,
V_sweep,250,2570,214,91.7,84.7,
V_sweep,280,2937,234,92.0,85.7,
V_sweep,310,3146,250,92.1,86.0,
V_sweep,340,3503,286,91.8,86.0,
V_sweep,370,3627,323,91.1,85.3,
V_sweep,400,3911,362,90.7,85.1,
